课程名,学分,主讲教师,上课时间,开课院系,掉课率
合唱艺术(2),1,丁毅,7-4(全周);7-3(全周),艺教中心,13.61
舞蹈基础(2),1,邢高熙,6-6(全周);6-5(全周),艺教中心,12.76
京剧基本功训练(2),1,林叶青,5-6(全周),艺教中心,18.55
话剧创作与导演、表演实践(2),1,肖薇,7-2(全周),艺教中心,17.37
美术实践与创作(2),1,马文甲,6-6(全周),艺教中心,12.44
管乐合奏初步,1,张柏赫,7-4(全周);7-3(全周),艺教中心,15.72
多元文化中的音乐现象,2,罗薇,1-6(全周),艺教中心,47.16
20世纪中国歌曲发展史,2,吕建强,1-3(全周),艺教中心,19.33
戏曲与中国传统文化,2,林叶青,2-4(全周),艺教中心,41.92
音乐会合唱(4),1,丁毅,7-6(全周),艺教中心,14.97
浪漫主义与二十世纪钢琴作品演奏(4),1,吴纯,4-4(全周);4-3(全周),艺教中心,10.37
浪漫主义与二十世纪钢琴作品演奏(4),1,吴纯,4-6(全周),艺教中心,14.91
中国当代舞蹈经典(2),1,张伟,7-2(全周);7-1(全周),艺教中心,13.8
西方音乐史,2,康啸,2-6(全周),艺教中心,37.59
现代舞基础,1,黄晓夏,3-4(全周),艺教中心,48.03
中国民族舞基础,1,栾洋,5-3(全周),艺教中心,41.81
中国民族舞基础,1,栾洋,5-4(全周),艺教中心,38.77
琵琶演奏基础,1,马宇卉,2-3(全周),艺教中心,34.95
琵琶演奏基础,1,马宇卉,3-3(全周),艺教中心,46.71
声乐基础训练,1,付林波,4-5(全周),艺教中心,44.64
声乐基础训练,1,付林波,4-6(全周),艺教中心,35.75
京剧艺术赏析,1,周梦梅,5-4(双周),艺教中心,38.88
曲艺表演基础训练(2),1,赵洪,7-6(全周),艺教中心,11.41
中国少数民族舞中级班,1,黄晓夏,3-5(全周),艺教中心,18.0
声乐基础提高,1,付林波,3-5(全周),艺教中心,37.69
声乐基础提高,1,付林波,3-6(全周),艺教中心,34.19
现代舞中级班,1,黄晓夏,4-5(全周),艺教中心,32.01
小提琴演奏基础,1,王梦词,1-4(全周),艺教中心,40.35
西方弦乐艺术探究,2,刘欣欣,5-5(全周),艺教中心,16.77
基本乐理与视唱练耳,2,谢鹏,1-3(全周),艺教中心,15.3
舞蹈文化与审美,1,张伟,4-6(前八周),艺教中心,15.5
京剧表演史论与生行艺术实践,1,周梦梅,3-3(全周),艺教中心,11.83
京剧表演史论与旦行艺术实践,1,胡馨元,3-4(全周),艺教中心,16.81
小提琴演奏基础(2),1,王梦词,1-5(全周),艺教中心,42.7
西方音乐与观念,1,吕建强,2-3(全周),艺教中心,15.68
古琴演奏及古琴作品赏析,1,陈璨,3-3(全周),艺教中心,41.17
硬笔书法赏析与实践,1,邓俊辉,3-6(单周),艺教中心,36.29
戏剧剧本进阶写作,2,曾夏琰,5-5(全周),艺教中心,16.92
戏剧剧本基础写作,2,付桂生,2-3(全周),艺教中心,43.45
歌曲编配理论与制作,2,程远,2-3(7-16周);2-3(1-6周),艺教中心,43.74
电影音乐创作,2,程远,2-5(7-16周);2-5(1-6周),艺教中心,49.98
类型电影创意设计与剧本写作,2,曾夏琰,5-6(全周),艺教中心,36.67
古琴演奏提高班,1,陈璨,3-4(全周),艺教中心,11.72
表导演基础,2,肖薇,2-6(全周),艺教中心,42.72
中外名剧赏析,2,林叶青,2-6(全周),艺教中心,41.76
芭蕾美育与芭蕾基训,1,邹之瑞,3-3(全周),艺教中心,13.5
原创剧本基础写作(2),2,曾夏琰,6-3(全周);6-4(全周),艺教中心,19.84
电影编剧艺术,2,曾夏琰,5-4(全周),艺教中心,40.39
交响音乐赏析,2,吕建强,2-4(全周),艺教中心,40.76
音乐剧作品研读,2,罗薇,2-3(全周),艺教中心,40.02
西方经典歌剧赏析,2,丁毅,5-4(全周),艺教中心,10.06
非遗中国舞蹈——历史与传承,2,邢高熙,3-4(全周),艺教中心,19.86
舞蹈创意实践与表达,1,黄晓夏,4-6(全周),艺教中心,13.32
服饰色彩,2,李莉婷,2-4(前八周);2-3(前八周),美术学院,17.51
材料再造,2,王悦,2-4(后八周);2-3(后八周),美术学院,18.15
编排设计,2,贺婧,2-4(后八周);2-3(后八周),美术学院,37.22
标志设计,2,何洁,3-4(前八周);3-3(前八周),美术学院,38.18
摄影美学,2,温海成,2-4(后八周);2-3(后八周),美术学院,32.45
建筑装饰,2,李飒,1-4(前八周);1-3(前八周),美术学院,16.98
陈设设计,2,李飒,1-4(后八周);1-3(后八周),美术学院,42.36
绿色设计,1,周浩明,1-4(1-4周);1-3(1-4周),美术学院,18.69
展示设计,2,汪建松,3-4(后八周);3-3(后八周),美术学院,11.63
陶艺基础—拉坯成型,3,董素学,3-4(1-12周);3-3(1-12周),美术学院,48.47
陶瓷艺术,4,刘润福,2-4(全周);2-3(全周),美术学院,47.79
服饰搭配与制作,2,吴波,2-4(5-12周);2-3(5-12周),美术学院,37.28
漆塑艺术创作,2,杨佩璋,3-4(前八周);3-3(前八周),美术学院,46.17
商业展示设计,2,周艳阳,3-4(后八周);3-3(后八周),美术学院,41.7
金属艺术,2,王晓昕,1-4(1-4周);1-3(1-4周);1-2(1-4周),美术学院,37.05
设计心理学导论,2,蒋红斌,2-4(前八周);2-3(前八周),美术学院,44.21
经典工笔花鸟画临摹,2,丁荭,3-4(前八周);3-3(前八周),美术学院,45.44
西方油画临摹与欣赏,3,于婉莹,2-4(3-8周);2-3(3-8周);2-4(3-8周),美术学院,46.76
实验雕塑(4),2,宿志鹏,2-4(后八周);2-3(后八周),美术学院,31.35
实验雕塑(3),2,魏二强,2-4(前八周);2-3(前八周),美术学院,31.51
笔墨基础(山水技法),3,刘利平,3-4(9-12周);3-3(9-12周),美术学院,10.38
陶艺创作,2,吴昊宇,3-3(11-14周);1-4(11-14周),美术学院,46.84
纤维艺术,2,岳嵩,3-4(后八周);3-3(后八周),美术学院,38.1
中国画艺术赏析与实践,2,王巍,5-3(13-16周);2-4(13-17周),美术学院,44.32
油画(人物),2,韩博,1-4(后八周);1-3(后八周),美术学院,18.08
陶瓷赏析与创作练习,2,董素学,2-4(前八周);2-3(前八周),美术学院,33.16
速写,2,周爱民,3-4(前八周);3-3(前八周),美术学院,12.35
插画设计,2,张柏萌,3-4(后八周);3-3(后八周),美术学院,10.26
图形创意编程,2,师丹青,3-4(后八周);3-3(后八周),美术学院,10.52
中外设计论著导读,2,周志,2-4(前八周);2-3(前八周),美术学院,13.72
公共设施设计,2,刘强,5-4(前八周);5-3(前八周),美术学院,17.01
西方基督教美术,2,张敢,2-4(后八周);2-3(后八周),美术学院,13.72
装饰艺术,2,李秉孺,3-4(后八周);3-3(后八周),美术学院,16.28
木雕创作,2,陈辉,2-4(前八周);2-3(前八周),美术学院,47.2
编辑设计,2,贺婧,2-4(前八周);2-3(前八周),美术学院,17.49
金属雕塑创作,2,董书兵,2-4(后八周);2-3(后八周),美术学院,34.67
人工智能与艺术设计,2,米海鹏,2-4(前八周);2-3(前八周),美术学院,81.36
生活陶瓷器皿创作,2,吴昊宇,2-4(后八周);2-3(后八周),美术学院,47.88
探索未来城市：智慧、韧性与可持续,2,黄弘,1-6(全周),安全学院,16.8
走近安全-漫谈国家安全,2,申世飞,2-6(全周),安全学院,36.77
安全科学的输运基础,2,翁文国,4-6(全周),安全学院,14.9
地球、环境与人类社会和人类健康,2,底骞,2-6(全周),卫健学院,16.09
化学简史,2,陆跃翔,1-6(全周),核研院,19.51
社会科学研究方法论导论,2,阎琨,5-3(全周),教研院,40.17
教育政策与领导,2,王传毅,3-6(1-12周),教研院,16.8
学校领导实务,2,靳天宇,3-4(前八周);3-3(前八周),教研院,19.48
家庭教育导论,1,魏军,3-6(1-6周),教研院,10.4
中国传统教育经典选读,2,李立国,2-6(全周),教研院,12.31
计算机网络管理,3,王会,5-2(全周),网络研究院,19.4
工业系统概论,2,汤彬,1-6(1-13周),训练中心,13.59
现代加工技术与实践,2,徐伟国,6-1(全周),训练中心,13.38
制造工程体验,2,罗勇,2-2(全周);2-1(全周),训练中心,12.32
制造工程体验,2,罗勇,2-4(全周);2-3(全周),训练中心,48.78
制造工程体验,2,董宝光,2-4(全周);2-3(全周),训练中心,36.51
制造工程体验,2,董宝光,3-4(全周);3-3(全周),训练中心,42.9
制造工程体验,2,董宝光,5-4(全周);5-3(全周),训练中心,12.61
制造工程体验,2,张琦,5-2(全周);5-1(全周),训练中心,44.05
制造工程体验,2,张琦,5-4(全周);5-3(全周),训练中心,34.91
制造工程体验,2,李璠,1-4(全周);1-3(全周),训练中心,11.59
制造工程体验,2,李璠,5-4(全周);5-3(全周),训练中心,12.68
制造工程体验,2,王健美,5-2(全周);5-1(全周),训练中心,35.79
制造工程体验,2,王健美,5-4(全周);5-3(全周),训练中心,48.33
制造工程体验,2,徐静阳,2-4(全周);2-3(全周),训练中心,16.58
